"~id","~labels","notes","level","name","alias","tags","zh_title","hi_title","es_title","fr_content","hi_content","en_title","es_content","en_content","fr_title","zhi_content","parent","zh_content"
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:0","TOPIC","",0,"NULL TOPIC","Topic ZERO: THE NULL TOPIC","['topic','first','prime','root']",,,,,,,,,,,,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:5","DESCRIPTION",,,"desc.NULL_TOPIC",,,"根主题","मूल विषय","Tema Nulo","Il s'agit du SUJET NULL : la racine de la base de données graphique du Livre des Pensées.","यह शून्य विषय है: विचारों की पुस्तक ग्राफ डेटाबेस का मूल।","Null Topic","Este es el TEMA NULO: la raíz de la base de datos gráfica del Libro de Pensamientos.","This is the NULL TOPIC: the root of the Book of Thoughts graph database.","Thème racine","这是 NULL TOPIC：思想之书图形数据库的根",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","TOPIC","NOTE: Implement multi-level topics; THE-GODHEAD being the only topic level 1.",1,"topic.THE GODHEAD","Topic: The GODHEAD","['starting point','level_one','alpha','omega','the_one']",,,,,,,,,,,"NULL TOPIC",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:1","TOPIC","",2,"topic.CREATION","Topic: The Universe / Multiverse","['creatiion','cosmos','universe','dominion','kingdom']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:3","DESCRIPTION",,,"desc.CREATION",,,"创造","सृष्टि","CREACIÓN","Tous les êtres, lieux et choses qui existent en dehors de la DIVINITÉ, résultat de la Création Divine.","ईश्वर के बाहर मौजूद सभी प्राणी, स्थान और चीज़ें ईश्वरीय सृष्टि का परिणाम हैं।","CREATION","Todos los seres, lugares y cosas que existen aparte de La DEIDAD como resultado de la Creación Divina.","All beings, places and things that exist apart from The GODHEAD as a result of Divine Creation.","CRÉATION","上帝之外的一切存在、地方和事物都是神圣创造的结果。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:4","DESCRIPTION",,,"desc.The GODHEAD",,,"神性","ईश्वरत्व","La DEIDAD","L'Être de Dieu existant en trois personnes.","ईश्वर का अस्तित्व तीन व्यक्तियों में विद्यमान है।","THE GODHEAD","El Ser de Dios existiendo en Tres Personas.","The Being of God as existing in Three Persons.","La DIVINITÉ","神的存在形式为三位一体。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:6","TOPIC","",2,"topic.DIVINE SOVEREIGNTY","Topic: Predestination","['sovereignty','lordship','determinism','absolute','volition']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:8","TOPIC","",2,"topic.FAITHFULNESS","Topic: Steadfastness","['commentment','fidelity','steadfastness','reliability','dependability']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:10","TOPIC","",2,"topic.HOLINESS","Topic: God's Worth","['sacred','sacrosanct','godliness','piety','virtue']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:12","TOPIC","",2,"topic.LOVE","Topic: God is Love","['divine','love','spirit','affection','cherish']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:14","TOPIC","",2,"topic.SPIRITUALITY","Topic: Godliness","['breath','atitude','transcendence','metaphysical','supernatural']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:16","TOPIC","",2,"topic.THE GOSPEL","Topic: The Good News","['evangel','good_news','jesus','salvation','redemption']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:18","TOPIC","",2,"topic.TRUTH","Topic: The Divine Being","['actuality','reality','fact','authentic','verity']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:22","THOUGHT","",1,"thought.EMPTINESS","Thought: The Void Within","['emptiness','void','hunger','addiction','spirituality']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:23","THOUGHT","",1,"thought.IMPERSONAL GOD","Thought: The Genie God","['personal','impersonal','self_aware','god','sentience']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:25","THOUGHT","",1,"thought.GOD-AWARENESS","Thought: The God Who is Here","['faith','awareness','self','god','worship']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:26","THOUGHT","",2,"thought.EGO","Thought: The Greatness of God","['god','sun','earth','myself','humility']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:28","THOUGHT","",1,"thought.MEEK","Thought: The Meek God","['meek','lowly','jesus_christ','crucified','despised']",,,,,,,,,,,"topic.THE GODHEAD",
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:30","THOUGHT","",1,"thought.MIRACLES","Thought: Acts of God","['miracles','acts_of_god','divine_power','glory_of_god','signs']",,,,,,,,,,,"topic.THE GODHEAD",
